Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
127,Mike Schmidt,1995,18,1972,1989,12,106.8,2404,10062,8352,1506,2234,408,59,548,1595,174,92,1507,1883,201,156,108,16,0.267,0.38,0.527,0.908
128,Miller Huggins,1964,13,1904,1916,0,35.4,1586,6825,5558,948,1474,146,50,9,318,324,31,1003,556,,,,192,0.265,0.382,0.314,0.696
129,Minnie Minoso,2022,20,1946,1980,13,53.2,1948,8233,7059,1228,2113,365,95,195,1089,216,130,848,584,43,185,57,69,0.299,0.387,0.461,0.848
130,Monte Irvin,1973,18,1938,1956,7,32.1,1044,4062,3523,580,1076,155,43,139,684,52,9,474,220,26,81,11,24,0.305,0.391,0.492,0.883
131,Mule Suttles,2006,21,1924,1944,5,36.5,909,3623,3220,720,1093,213,75,180,883,85,,370,,2,1,0,18,0.339,0.41,0.62,1.03
132,Nap Lajoie,1937,21,1896,1916,0,106.9,2480,10471,9590,1504,3243,657,163,82,1599,380,26,516,347,,,,221,0.338,0.38,0.466,0.846
133,Ned Hanlon,1996,13,1880,1892,0,18.1,1270,5577,5087,931,1318,159,79,30,518,329,,472,357,,,,,0.259,0.324,0.339,0.663
134,Nellie Fox,1997,19,1947,1965,15,49.5,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,30,175,48,208,0.288,0.348,0.363,0.71
135,Orlando Cepeda,1999,17,1958,1974,11,50.1,2124,8699,7927,1131,2351,417,27,379,1365,142,80,588,1169,154,218,74,4,0.297,0.35,0.499,0.849
136,Oscar Charleston,1976,18,1920,1941,3,48.4,918,3885,3317,854,1210,241,80,143,853,210,,478,,0,0,,62,0.365,0.449,0.615,1.064
137,Ozzie Smith,2002,19,1978,1996,15,76.9,2573,10778,9396,1257,2460,402,69,28,793,580,148,1072,589,79,167,63,214,0.262,0.337,0.328,0.666
138,Paul Molitor,2004,21,1978,1998,7,75.7,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,100,209,109,75,0.306,0.369,0.448,0.817
139,Paul Waner,1952,20,1926,1945,4,74.8,2549,10767,9459,1627,3152,605,191,113,1309,104,101,1091,376,53,127,,174,0.333,0.404,0.473,0.878
140,Pee Wee Reese,1984,16,1940,1958,10,68.4,2166,9472,8058,1338,2170,330,80,126,885,232,99,1210,890,69,176,19,157,0.269,0.366,0.377,0.743
141,Phil Rizzuto,1994,13,1941,1956,5,42.1,1661,6719,5816,877,1588,239,62,38,563,149,58,651,398,35,107,2,193,0.273,0.351,0.355,0.706
142,Pie Traynor,1948,17,1920,1937,2,38.7,1941,8298,7559,1183,2416,371,164,58,1273,158,88,472,278,19,47,,231,0.32,0.362,0.435,0.797
143,Rabbit Maranville,1954,23,1912,1935,0,44.1,2670,11260,10078,1256,2605,380,177,28,884,291,150,839,756,4,21,,300,0.258,0.318,0.34,0.658
